ID товара,Наименование,Цена,Город,Промо цена,Ссылка
3284542,Снек Take a Bitey паффы мультизлаковые яблоко-брокколи 20г,"64,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3284542/
3433302,Хлебцы DrKorner кукурузно-рисовые с имбирём и лимоном без глютена 90г,"70,90 ₽",Москва и Московская область,60 ₽,https://www.detmir.ru/product/index/id/3433302/
3506029,Чипсы Сибуки морская капуста Премиум 5г,"62,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3506029/
3444364,Батончик-мюсли Диа-Веста Vogue абрикос в глазури 37г,"26,50 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3444364/
3286058,Батончик Pikki фруктовый чернослив-яблоко 25г,"49,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3286058/
3533601,Фрукты сушеные Gifruit яблоко 500г,629 ₽,Москва и Московская область,547 ₽,https://www.detmir.ru/product/index/id/3533601/
3286025,Орехи Семушка фисташки очищенные 120г,425 ₽,Москва и Московская область,377 ₽,https://www.detmir.ru/product/index/id/3286025/
3286186,Батончик-мюсли Bombbar клубника 45г,"55,70 ₽",Москва и Московская область,48 ₽,https://www.detmir.ru/product/index/id/3286186/
3286040,Орехи Семушка грецкий 110г,219 ₽,Москва и Московская область,"193,90 ₽",https://www.detmir.ru/product/index/id/3286040/
3286053,Лаваш Семушка фруктовый из кураги 80г,"102,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3286053/
3422272,Батончик ОлЛайт абрикосовый 30г,"44,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3422272/
3433313,Чипсы DrKorner цельнозерновые рисовые c горошком и чечевицей 50г,"49,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3433313/
1919721,Батончики Sponge Bob амарантовые с начинкой крем-брюле глазированные 20г,"37,90 ₽",Москва и Московская область,29 ₽,https://www.detmir.ru/product/index/id/1919721/
1919751,Подушечки Sponge Bob амарантовые со сливочной начинкой 220г,"178,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/1919751/
3467345,Карамель медовая HoneyWay с ментолом и эвкалиптом 30г,219 ₽,Москва и Московская область,"189,90 ₽",https://www.detmir.ru/product/index/id/3467345/
3277210,Батончик R.A.W.LIFE орехово-фруктовый лайм-имбирь 47г,"155,90 ₽",Москва и Московская область,114 ₽,https://www.detmir.ru/product/index/id/3277210/
3480610,Ядра Nutvill кешью сырые 130г,315 ₽,Москва и Московская область,,https://www.detmir.ru/product/index/id/3480610/
3422274,Батончик ОлЛайт клубничный 30г,"44,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3422274/
3289439,Хлебцы DiDi амарантовые без глютена с гречей 195г,"118,90 ₽",Москва и Московская область,95 ₽,https://www.detmir.ru/product/index/id/3289439/
3286043,Орехи Семушка макадамия 150г,671 ₽,Москва и Московская область,621 ₽,https://www.detmir.ru/product/index/id/3286043/
3467301,Карамель медовая HoneyWay горное разнотравье 30г,219 ₽,Москва и Московская область,"189,90 ₽",https://www.detmir.ru/product/index/id/3467301/
3289441,Хлебцы DiDi амарантовые без глютена с ламинарией 195г,"118,90 ₽",Москва и Московская область,"96,90 ₽",https://www.detmir.ru/product/index/id/3289441/
3335272,Батончик ПП мюсли личи в йогуртовой глазури 30г,"39,90 ₽",Москва и Московская область,"27,90 ₽",https://www.detmir.ru/product/index/id/3335272/
3444362,Батончик Диа-Веста Бон Здоровье от Природы шоколад 30г,"26,50 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3444362/
3276023,Снек Marc&Фиса Фрустики свекла-малина 15г с 1 года,"32,90 ₽",Москва и Московская область,"15,90 ₽",https://www.detmir.ru/product/index/id/3276023/
1919611,Батончики Умные сладости с кокосовой начинкой в глазури 110г,"156,90 ₽",Москва и Московская область,130 ₽,https://www.detmir.ru/product/index/id/1919611/
3277070,Снеки Зеленика сушеный батат 50г,"172,90 ₽",Москва и Московская область,"119,90 ₽",https://www.detmir.ru/product/index/id/3277070/
3296383,Снеки LittleAngel Angelina органические кукурузные с яблоком и клубникой 30г,203 ₽,Москва и Московская область,,https://www.detmir.ru/product/index/id/3296383/
3433304,Хлебцы Jr Korner мини хрустящие рисовые карамельные 30г,"33,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3433304/
1919491,Хлебцы DiDi амарантовые без глютена 100г,"67,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/1919491/
3433299,Хлебцы DrKorner кукурузно-рисовые с чиа и льном без глютена 100г,"91,50 ₽",Москва и Московская область,80 ₽,https://www.detmir.ru/product/index/id/3433299/
3286062,Батончик Pikki фруктово-ореховый семечки-клюква 35г,"79,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3286062/
3277083,Снеки Зеленика сушеная слива 20г,"160,90 ₽",Москва и Московская область,"119,90 ₽",https://www.detmir.ru/product/index/id/3277083/
3286044,Семена Семушка кунжута 150г,"89,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3286044/
3444374,Завтрак сухой Диа-Веста Класс с ягодой черники 30г,"19,50 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3444374/
3286054,Сухофрукт Семушка ананасы сушеные 80г,247 ₽,Москва и Московская область,"194,90 ₽",https://www.detmir.ru/product/index/id/3286054/
3286046,Орехи Семушка грецкий 200г,419 ₽,Москва и Московская область,,https://www.detmir.ru/product/index/id/3286046/
3277156,Чипсы NEWTON апельсиновые 25г,"147,90 ₽",Москва и Московская область,"117,90 ₽",https://www.detmir.ru/product/index/id/3277156/
3531421,Маффин Bionova протеиновый шоколадный с кусочками шоколада 40г,"74,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3531421/
